Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
172,,27.0 °C,20.6 °C,18.2 °C,58.9 %,1 ppm,906 ppm,,,,23/09/2021 04:54:30 p. m.
173,,27.0 °C,20.6 °C,18.2 °C,58.9 %,1 ppm,912 ppm,,,,23/09/2021 04:54:35 p. m.
174,,27.0 °C,20.6 °C,18.2 °C,59.0 %,1 ppm,920 ppm,,,,23/09/2021 04:54:40 p. m.
175,,27.0 °C,20.6 °C,18.2 °C,59.0 %,1 ppm,921 ppm,,,,23/09/2021 04:54:45 p. m.
176,,27.0 °C,20.6 °C,18.2 °C,59.0 %,1 ppm,920 ppm,,,,23/09/2021 04:54:50 p. m.
177,,27.0 °C,20.6 °C,18.2 °C,58.9 %,1 ppm,922 ppm,,,,23/09/2021 04:54:55 p. m.
178,,27.0 °C,20.6 °C,18.2 °C,59.0 %,1 ppm,921 ppm,,,,23/09/2021 04:55:00 p. m.
179,,27.0 °C,20.6 °C,18.2 °C,59.0 %,1 ppm,916 ppm,,,,23/09/2021 04:55:05 p. m.
180,,27.0 °C,20.6 °C,18.2 °C,59.0 %,1 ppm,917 ppm,,,,23/09/2021 04:55:10 p. m.
181,,27.0 °C,20.6 °C,18.2 °C,59.0 %,1 ppm,912 ppm,,,,23/09/2021 04:55:15 p. m.
182,,27.0 °C,20.7 °C,18.3 °C,59.0 %,1 ppm,905 ppm,,,,23/09/2021 04:55:20 p. m.
183,,27.0 °C,20.7 °C,18.3 °C,59.0 %,1 ppm,907 ppm,,,,23/09/2021 04:55:25 p. m.
184,,27.0 °C,20.7 °C,18.3 °C,59.0 %,1 ppm,905 ppm,,,,23/09/2021 04:55:30 p. m.
185,,27.0 °C,20.7 °C,18.3 °C,59.0 %,1 ppm,906 ppm,,,,23/09/2021 04:55:35 p. m.
186,,27.0 °C,20.7 °C,18.3 °C,59.0 %,1 ppm,913 ppm,,,,23/09/2021 04:55:40 p. m.
187,,27.0 °C,20.7 °C,18.3 °C,59.1 %,1 ppm,913 ppm,,,,23/09/2021 04:55:45 p. m.
188,,27.0 °C,20.7 °C,18.3 °C,59.1 %,1 ppm,915 ppm,,,,23/09/2021 04:55:50 p. m.
189,,27.0 °C,20.7 °C,18.3 °C,59.1 %,1 ppm,917 ppm,,,,23/09/2021 04:55:55 p. m.
190,,27.0 °C,20.7 °C,18.3 °C,59.1 %,1 ppm,923 ppm,,,,23/09/2021 04:56:00 p. m.
191,,27.0 °C,20.7 °C,18.3 °C,59.1 %,1 ppm,921 ppm,,,,23/09/2021 04:56:05 p. m.
192,,27.0 °C,20.7 °C,18.3 °C,59.1 %,1 ppm,921 ppm,,,,23/09/2021 04:56:10 p. m.
193,,27.0 °C,20.7 °C,18.3 °C,59.1 %,1 ppm,919 ppm,,,,23/09/2021 04:56:15 p. m.
194,,27.0 °C,20.7 °C,18.3 °C,59.1 %,1 ppm,916 ppm,,,,23/09/2021 04:56:20 p. m.
195,,27.0 °C,20.7 °C,18.3 °C,59.2 %,1 ppm,922 ppm,,,,23/09/2021 04:56:25 p. m.
196,,27.0 °C,20.7 °C,18.3 °C,59.2 %,1 ppm,927 ppm,,,,23/09/2021 04:56:30 p. m.
197,,27.0 °C,20.7 °C,18.3 °C,59.2 %,1 ppm,931 ppm,,,,23/09/2021 04:56:35 p. m.
198,,27.0 °C,20.7 °C,18.3 °C,59.2 %,1 ppm,931 ppm,,,,23/09/2021 04:56:40 p. m.
199,,27.0 °C,20.7 °C,18.3 °C,59.3 %,1 ppm,935 ppm,,,,23/09/2021 04:56:45 p. m.
200,,27.0 °C,20.7 °C,18.3 °C,59.3 %,1 ppm,938 ppm,,,,23/09/2021 04:56:50 p. m.
201,,27.0 °C,20.7 °C,18.3 °C,59.3 %,1 ppm,948 ppm,,,,23/09/2021 04:56:55 p. m.
202,,27.0 °C,20.7 °C,18.3 °C,59.3 %,1 ppm,949 ppm,,,,23/09/2021 04:57:00 p. m.
203,,27.0 °C,20.7 °C,18.3 °C,59.3 %,1 ppm,939 ppm,,,,23/09/2021 04:57:05 p. m.
204,,27.0 °C,20.7 °C,18.3 °C,59.3 %,1 ppm,937 ppm,,,,23/09/2021 04:57:10 p. m.
205,,27.0 °C,20.7 °C,18.3 °C,59.2 %,1 ppm,937 ppm,,,,23/09/2021 04:57:15 p. m.
206,,27.0 °C,20.7 °C,18.3 °C,59.3 %,1 ppm,939 ppm,,,,23/09/2021 04:57:20 p. m.
207,,27.0 °C,20.7 °C,18.3 °C,59.3 %,1 ppm,946 ppm,,,,23/09/2021 04:57:25 p. m.
208,,27.0 °C,20.7 °C,18.3 °C,59.3 %,1 ppm,942 ppm,,,,23/09/2021 04:57:30 p. m.
209,,27.0 °C,20.7 °C,18.3 °C,59.2 %,1 ppm,935 ppm,,,,23/09/2021 04:57:35 p. m.
210,,27.0 °C,20.7 °C,18.3 °C,59.2 %,1 ppm,932 ppm,,,,23/09/2021 04:57:40 p. m.
211,,27.0 °C,20.7 °C,18.3 °C,59.3 %,1 ppm,936 ppm,,,,23/09/2021 04:57:45 p. m.
212,,27.0 °C,20.7 °C,18.3 °C,59.3 %,1 ppm,934 ppm,,,,23/09/2021 04:57:50 p. m.
213,,27.0 °C,20.7 °C,18.3 °C,59.3 %,1 ppm,929 ppm,,,,23/09/2021 04:57:55 p. m.
214,,27.0 °C,20.7 °C,18.3 °C,59.3 %,1 ppm,930 ppm,,,,23/09/2021 04:58:00 p. m.
215,,27.0 °C,20.7 °C,18.3 °C,59.3 %,1 ppm,922 ppm,,,,23/09/2021 04:58:05 p. m.
