Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
396,,25.4 °C,21.3 °C,19.9 °C,71.8 %,1 ppm,475 ppm,,,,13/09/2021 09:38:43 a. m.
397,,25.4 °C,21.3 °C,19.9 °C,71.8 %,1 ppm,475 ppm,,,,13/09/2021 09:38:44 a. m.
398,,25.4 °C,21.3 °C,19.9 °C,71.8 %,1 ppm,474 ppm,,,,13/09/2021 09:38:45 a. m.
399,,25.4 °C,21.3 °C,19.9 °C,71.7 %,1 ppm,474 ppm,,,,13/09/2021 09:38:46 a. m.
400,,25.4 °C,21.3 °C,19.9 °C,71.7 %,1 ppm,473 ppm,,,,13/09/2021 09:38:47 a. m.
401,,25.4 °C,21.3 °C,19.9 °C,71.7 %,1 ppm,473 ppm,,,,13/09/2021 09:38:48 a. m.
402,,25.4 °C,21.3 °C,19.9 °C,71.7 %,1 ppm,473 ppm,,,,13/09/2021 09:38:49 a. m.
403,,25.4 °C,21.3 °C,19.9 °C,71.7 %,1 ppm,473 ppm,,,,13/09/2021 09:38:50 a. m.
404,,25.4 °C,21.3 °C,19.9 °C,71.7 %,1 ppm,472 ppm,,,,13/09/2021 09:38:51 a. m.
405,,25.4 °C,21.3 °C,19.9 °C,71.8 %,1 ppm,472 ppm,,,,13/09/2021 09:38:52 a. m.
406,,25.4 °C,21.3 °C,19.9 °C,71.8 %,1 ppm,471 ppm,,,,13/09/2021 09:38:53 a. m.
407,,25.4 °C,21.3 °C,19.9 °C,71.7 %,1 ppm,471 ppm,,,,13/09/2021 09:38:54 a. m.
408,,25.4 °C,21.3 °C,19.9 °C,71.7 %,1 ppm,471 ppm,,,,13/09/2021 09:38:55 a. m.
409,,25.4 °C,21.3 °C,19.9 °C,71.7 %,1 ppm,470 ppm,,,,13/09/2021 09:38:56 a. m.
410,,25.4 °C,21.3 °C,19.9 °C,71.7 %,1 ppm,471 ppm,,,,13/09/2021 09:38:57 a. m.
411,,25.4 °C,21.3 °C,19.9 °C,71.7 %,1 ppm,471 ppm,,,,13/09/2021 09:38:58 a. m.
412,,25.4 °C,21.3 °C,19.9 °C,71.7 %,1 ppm,470 ppm,,,,13/09/2021 09:38:59 a. m.
413,,25.4 °C,21.3 °C,19.9 °C,71.7 %,1 ppm,470 ppm,,,,13/09/2021 09:39:00 a. m.
