Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
143,,25.7 °C,21.0 °C,19.3 °C,68.2 %,1 ppm,688 ppm,,,,30/06/2021 01:21:53 p. m.
144,,25.7 °C,21.0 °C,19.3 °C,68.2 %,1 ppm,686 ppm,,,,30/06/2021 01:21:58 p. m.
145,,25.7 °C,21.0 °C,19.3 °C,68.2 %,1 ppm,689 ppm,,,,30/06/2021 01:22:03 p. m.
146,,25.7 °C,21.0 °C,19.3 °C,68.2 %,1 ppm,689 ppm,,,,30/06/2021 01:22:08 p. m.
147,,25.7 °C,21.0 °C,19.3 °C,68.2 %,1 ppm,688 ppm,,,,30/06/2021 01:22:13 p. m.
148,,25.7 °C,21.0 °C,19.3 °C,68.2 %,1 ppm,691 ppm,,,,30/06/2021 01:22:18 p. m.
149,,25.7 °C,21.1 °C,19.4 °C,68.2 %,1 ppm,690 ppm,,,,30/06/2021 01:22:23 p. m.
150,,25.7 °C,21.0 °C,19.3 °C,68.2 %,1 ppm,686 ppm,,,,30/06/2021 01:22:28 p. m.
151,,25.7 °C,21.0 °C,19.3 °C,68.2 %,1 ppm,682 ppm,,,,30/06/2021 01:22:33 p. m.
152,,25.8 °C,21.1 °C,19.4 °C,68.2 %,1 ppm,686 ppm,,,,30/06/2021 01:22:38 p. m.
153,,25.8 °C,21.0 °C,19.3 °C,68.2 %,1 ppm,684 ppm,,,,30/06/2021 01:22:43 p. m.
154,,25.7 °C,21.0 °C,19.3 °C,68.2 %,1 ppm,681 ppm,,,,30/06/2021 01:22:48 p. m.
155,,25.7 °C,21.0 °C,19.3 °C,68.2 %,0 ppm,681 ppm,,,,30/06/2021 01:22:53 p. m.
156,,25.8 °C,21.1 °C,19.4 °C,68.2 %,1 ppm,686 ppm,,,,30/06/2021 01:22:58 p. m.
157,,25.8 °C,21.0 °C,19.3 °C,68.2 %,1 ppm,687 ppm,,,,30/06/2021 01:23:03 p. m.
158,,25.8 °C,21.1 °C,19.4 °C,68.2 %,1 ppm,691 ppm,,,,30/06/2021 01:23:08 p. m.
159,,25.8 °C,21.1 °C,19.4 °C,68.2 %,1 ppm,691 ppm,,,,30/06/2021 01:23:13 p. m.
160,,25.8 °C,21.1 °C,19.4 °C,68.1 %,0 ppm,691 ppm,,,,30/06/2021 01:23:18 p. m.
161,,25.8 °C,21.1 °C,19.4 °C,68.1 %,1 ppm,690 ppm,,,,30/06/2021 01:23:23 p. m.
162,,25.8 °C,21.1 °C,19.4 °C,68.1 %,1 ppm,689 ppm,,,,30/06/2021 01:23:28 p. m.
163,,25.8 °C,21.1 °C,19.4 °C,68.1 %,1 ppm,690 ppm,,,,30/06/2021 01:23:33 p. m.
164,,25.8 °C,21.1 °C,19.4 °C,68.1 %,1 ppm,685 ppm,,,,30/06/2021 01:23:38 p. m.
165,,25.8 °C,21.1 °C,19.4 °C,68.1 %,1 ppm,684 ppm,,,,30/06/2021 01:23:43 p. m.
166,,25.8 °C,21.1 °C,19.4 °C,68.1 %,1 ppm,680 ppm,,,,30/06/2021 01:23:48 p. m.
167,,25.8 °C,21.1 °C,19.4 °C,68.1 %,1 ppm,680 ppm,,,,30/06/2021 01:23:53 p. m.
168,,25.8 °C,21.1 °C,19.4 °C,68.1 %,1 ppm,686 ppm,,,,30/06/2021 01:23:58 p. m.
169,,25.8 °C,21.1 °C,19.4 °C,68.1 %,1 ppm,690 ppm,,,,30/06/2021 01:24:03 p. m.
170,,25.8 °C,21.1 °C,19.4 °C,68.1 %,1 ppm,688 ppm,,,,30/06/2021 01:24:08 p. m.
171,,25.8 °C,21.1 °C,19.4 °C,68.1 %,1 ppm,690 ppm,,,,30/06/2021 01:24:13 p. m.
172,,25.8 °C,21.1 °C,19.4 °C,68.1 %,1 ppm,694 ppm,,,,30/06/2021 01:24:18 p. m.
173,,25.8 °C,21.1 °C,19.4 °C,68.1 %,1 ppm,695 ppm,,,,30/06/2021 01:24:23 p. m.
174,,25.8 °C,21.1 °C,19.4 °C,68.1 %,1 ppm,699 ppm,,,,30/06/2021 01:24:28 p. m.
175,,25.8 °C,21.1 °C,19.4 °C,68.1 %,1 ppm,700 ppm,,,,30/06/2021 01:24:33 p. m.
176,,25.8 °C,21.1 °C,19.4 °C,68.1 %,1 ppm,697 ppm,,,,30/06/2021 01:24:38 p. m.
177,,25.8 °C,21.1 °C,19.4 °C,68.1 %,1 ppm,697 ppm,,,,30/06/2021 01:24:43 p. m.
178,,25.8 °C,21.1 °C,19.4 °C,68.1 %,1 ppm,701 ppm,,,,30/06/2021 01:24:48 p. m.
179,,25.8 °C,21.1 °C,19.4 °C,68.1 %,1 ppm,698 ppm,,,,30/06/2021 01:24:53 p. m.
180,,25.8 °C,21.1 °C,19.4 °C,68.0 %,1 ppm,697 ppm,,,,30/06/2021 01:24:58 p. m.
181,,25.8 °C,21.1 °C,19.4 °C,68.1 %,1 ppm,696 ppm,,,,30/06/2021 01:25:03 p. m.
